ID,SampleID,SampleType,Specimen type,Type,Read count,Corynebacterium,Kocuria,Micrococcus,Friedmanniella,Cutibacterium,Deinococcus,Staphylococcus,Streptococcus,Finegoldia,Paracoccus,Acinetobacter,Moraxella,Pseudomonas,Aureobasidium,Parastagonospora,Aspergillus,Botrytis,Hebeloma,Serpula,Postia,Grifola,Fomitiporia,Escherichia,Klebsiella,Coprinopsis,Ganoderma,Wolfiporia,Pestalotiopsis,Prevotella,Veillonella,Malassezia,Methylibium,Stereum,Heterobasidion,Trametes,Trichoderma,Schizophyllum,Dichomitus,Others
85,HMSP1552,Outdoor air,Sample,Samples,6483,0.215949406,0.015424958,0.323924109,0,0.092549745,0,0.138824618,0,0,0.370198982,0.586148388,0.293074194,0.06169983,0,0,0.277649236,0,0,4.766311893,5.552984729,6.848681166,0,0,0,3.208391177,5.568409687,5.445010026,0,0,0,0.863797625,0,0,0,5.815209008,0,4.982261299,50.16196205,4.411537874
86,HMSP1553,Surface,Sample,Samples,11192,2.108649035,0.964974982,0.652251608,0,0.70586133,2.385632595,2.0192995,1.402787706,0.553967119,5.986418871,1.661901358,3.565046462,0.741601144,0,0,15.76125804,0,0,0,1.483202287,1.608291637,3.511436741,0.73266619,0.473552538,1.00964975,0.866690493,0.822015726,0.830950679,0.12508935,0.026804861,11.4992852,0,0,0,1.00964975,0,18.58470336,5.798784846,13.10757684
87,HMSP1593,Indoor air,Sample,Samples,6755,6.276831976,0.399703923,0.458919319,0,0.222057735,0.222057735,0.325684678,0.725388601,0,2.413027387,1.199111769,0.266469282,6.188008882,0,0,0.977054034,0,0,2.871946706,4.189489267,6.691339748,0,0,0,4.056254626,5.507031828,0,0,0.029607698,0,7.416728349,0,0,0,5.358993338,0.118430792,2.235381199,37.08364175,4.766839378
88,HMSP1594,Outdoor air,Sample,Samples,5270,0.664136622,0.132827324,0.891840607,0,0.151802657,0,0.607210626,0,0,1.404174573,1.404174573,0.265654649,0.398481973,0,0,0.09487666,0,0,2.466793169,4.611005693,6.527514231,0,0,0,6.166982922,5.635673624,4.573055028,0,0,0,1.707779886,0,0,0,6.261859583,0,1.954459203,47.09677419,6.982922207
89,HMSP1595,Surface,Sample,Samples,9609,1.10313248,1.862836924,0.707669893,0,0.187324383,1.456967426,0.874180456,1.269643043,0.041627641,3.538349464,9.626391924,0.083255282,16.91122906,0,0,6.400249766,0,0,0,0.801332085,1.10313248,2.560099906,1.925278385,1.300863774,0.801332085,1.769174732,0.707669893,3.194921428,0.083255282,0,6.483505047,0,0,0,1.11353939,0,3.049224685,8.252679779,22.79113331
90,HMSP1598,Indoor air,Sample,Samples,13268,16.46819415,0.972264094,1.710883328,0,4.567380163,0.241181791,2.622851975,2.155562255,0,1.145613506,4.522158577,1.718420259,0.994874887,0,0,0.927042508,0,0,0.557732891,1.10039192,1.341573711,0,0,0,0.271329515,0.678323787,0,0,0.082906241,0,35.2728369,0,0,0,0.934579439,0.030147724,0.520048236,5.464274947,15.6994272
91,HMSP1599,Outdoor air,Sample,Samples,4748,0.084245998,0.042122999,1.01095198,0,0.105307498,0,0.273799495,0,0,0.673967987,0.905644482,0.042122999,0.189553496,0,0,0.147430497,0,0,4.064869419,5.096882898,7.834877843,0,0,0,5.855096883,6.00252738,4.907329402,0,0,0,0.168491997,0,0,0,6.381634372,0,2.737994945,46.84077506,6.63437237
92,HMSP1600,Surface,Sample,Samples,13767,7.358175347,0.363187332,0.719110917,0,2.484201351,0.602890971,7.053097988,2.636740031,0.777220891,0.806275877,3.639137067,2.469673858,2.084695286,0,0,9.878695431,0,0,0,0.02179124,0.08716496,0.094428706,2.752959977,1.888574127,0.029054987,0,0.036318733,0.050846226,0.13074744,0.058109973,16.84462846,0,0,0,0.029054987,0,0.370451079,0.312341106,36.42042565
93,HMSP1603,Indoor air,Sample,Samples,12586,1.890989989,0.556173526,1.835372636,0,4.30637216,10.54346099,0.230414747,0.246305419,0,10.7659304,1.525504529,2.407436835,1.072620372,0,0,1.438105832,0,0,0.476720165,0.69124424,1.350707135,0,0,0,0.357540124,0.723025584,0,0,0,0,3.964722708,0,0,0,0.707134912,0,0.095344033,3.43238519,51.38248847
94,HMSP1604,Outdoor air,Sample,Samples,5595,0.840035746,0.321715818,4.092940125,0,0.160857909,0,0.411081323,0,0,10.09830206,1.751563896,1.501340483,0.303842717,0,0,0.321715818,0,0,2.555853441,4.200178731,6.237712243,0,0,0,2.91331546,5.82663092,5.308310992,0,0,0,2.394995532,0,0,0,5.933869526,0,1.626452189,34.44146559,8.757819481
95,HMSP1605,Surface,Sample,Samples,4223,0.75775515,0.92351409,2.344304996,0,0.899834241,5.04380772,1.704949088,0.852474544,0.260478333,21.61970163,4.404451812,6.464598627,2.604783329,0,0,7.601231352,0,0,0,0.591996211,0.663035757,1.420790907,1.06559318,0.663035757,1.231352119,0.30783803,0.75775515,0.805114847,1.491830452,0.260478333,7.056594838,0,0,0,0.355197727,0,1.562869998,2.415344542,23.86928724
96,HMSP1635,Indoor air,Sample,Samples,8292,15.88277858,8.043897733,3.774722624,0,0.639170285,1.483357453,0.723589001,0.747708635,0,9.671972986,1.302460203,1.049204052,2.641099855,0,0,2.074288471,0,0,0.735648818,1.483357453,2.616980222,0,0,0,0.699469368,3.147612156,0,0,0,0,6.476121563,0,0,0,3.35262904,0.192957067,1.109503136,15.73806078,16.41341052
97,HMSP1636,Outdoor air,Sample,Samples,5664,3.266242938,1.324152542,2.595338983,0,0.617937853,0,0.388418079,0,0,27.06567797,1.394774011,1.694915254,0.158898305,0,0,0.176553672,0,0,1.129943503,3.460451977,5.049435028,0,0,0,1.306497175,4.043079096,3.478107345,0,0,0,4.007768362,0,0,0,5.985169492,0,1.34180791,23.21680791,8.298022595
98,HMSP1637,Surface,Sample,Samples,6374,6.855977408,0.80012551,0.925635394,0,0.690304361,2.463131472,3.592720427,1.945403201,0.611860684,3.169124569,12.23721368,2.557263885,3.153435833,0,0,8.958267964,0,0,0,0.282397239,0.31377471,0.188264826,5.302792595,4.502667085,0.17257609,0.266708503,0.345152181,2.431754001,0.564794478,0.156887355,9.099466583,0,0,0,0.329463445,0,0.454973329,0.878569187,26.74929401
